0;-4623
1;-2997
2;-1405
3;152
4;1687
5;3182
6;4646
7;6114
8;7543
9;8938
10;10313
11;11656
12;12986
13;14270
14;15553
15;16780
16;17997
17;19174
18;20332
19;21442
20;22526
21;23578
22;24574
23;25552
24;26468
25;27355
26;28191
27;28970
28;29688
29;30355
30;30950
31;31488
32;31930
33;32295
34;32557
35;32727
36;32767
37;32616
38;32193
39;31501
40;30676
41;29903
42;29266
43;28769
44;28359
45;28049
46;27788
47;27597
48;27447
49;27333
50;27252
51;27201
52;27174
53;27170
54;27172
55;27177
56;27184
57;27192
58;27200
59;27210
60;27220
61;27230
62;27240
63;27251
64;27262
65;27272
66;27283
67;27293
68;27303
69;27313
70;27323
71;27332
72;27340
73;27349
74;27356
75;27364
76;27370
77;27376
78;27382
79;27386
80;27391
81;27394
82;27396
83;27398
84;27399
85;27399
86;27398
87;27396
88;27393
89;27389
90;27384
91;27378
92;27370
93;27362
94;27352
95;27340
96;27328
97;27314
98;27298
99;27281
100;27262
101;27240
102;27218
103;27194
104;27166
105;27138
106;27106
107;27072
108;27036
109;26997
110;26956
111;26909
112;26860
113;26807
114;26752
115;26693
116;26628
117;26558
118;26481
119;26399
120;26308
121;26212
122;26105
123;25987
124;25862
125;25718
126;25559
127;25375
128;25169
129;24846
130;24314
131;23520
132;22392
133;20832
134;18734
135;16009
136;12623
137;8795
138;4881
139;1233
140;-2011
141;-4878
142;-7368
143;-9526
144;-11446
145;-13154
146;-14657
147;-16025
148;-17241
149;-18333
150;-19325
151;-20221
152;-21043
153;-21793
154;-22459
155;-23075
156;-23630
157;-24127
158;-24581
159;-24993
160;-25356
161;-25692
162;-25991
163;-26248
164;-26481
165;-26682
166;-26854
167;-26999
168;-27122
169;-27220
170;-27297
171;-27352
172;-27385
173;-27400
174;-27401
175;-27388
176;-27364
177;-27327
178;-27278
179;-27219
180;-27149
181;-27064
182;-26974
183;-26869
184;-26755
185;-26632
186;-26501
187;-26362
188;-26209
189;-26057
190;-25891
191;-25728
192;-25552
193;-25372
194;-25199
195;-25013
196;-24826
197;-24638
198;-24449
199;-24261
200;-24083
201;-23898
202;-23715
203;-23536
204;-23370
205;-23199
206;-23043
207;-22884
208;-22739
209;-22602
210;-22472
211;-22350
212;-22237
213;-22187
214;-22241
215;-22409
216;-22710
217;-23134
218;-23706
219;-24395
220;-25205
221;-26079
222;-27015
223;-27919
224;-28767
225;-29542
226;-30254
227;-30855
228;-31363
229;-31781
230;-32124
231;-32374
232;-32568
233;-32690
234;-32755
235;-32767
236;-32627
237;-32209
238;-31583
239;-30781
240;-29824
241;-28759
242;-27593
243;-26349
244;-25023
245;-23605
246;-22135
247;-20602
248;-19021
249;-17384
250;-15711
251;-13977
252;-12193
253;-10368
254;-8510
255;-6603
